
@contest "43rd Petrozavodsk Programming Camp (2022 Summer) Day 7. HSE Koresha Contest"
@contlen 300
@problems 11
@teams 38
@submissions 422
@p A,Easy Problem,20,0
@p B,Standard Problem,20,0
@p C,Network Transfer,20,0
@p D,Hard Problem,20,0
@p E,String Strange Sum,20,0
@p F,Bayan Testing,20,0
@p G,Battleship: New Rules,20,0
@p H,Triangular Cactus Paths,20,0
@p I,Best Sun,20,0
@p J,Fast Bridges,20,0
@p K,Decoding The Message,20,0
@t 1,0,1,"* Almost Past Glory: Danilyuk, Korotkevich, Minaiev"
@t 2,0,1,"Zhejiang U: Solitary Dream: Chen, Chu, Peng"
@t 3,0,1,"Harbour.Space University: Backspace: Dubovik, Sardarbekov, Zolotarev"
@t 4,0,1,"SPb SU: Block of cats: Danilevich, Turevskii, Ushakov"
@t 5,0,1,"Moscow IPT: Skyfall: Belyi, Peregudov, Surkov"
@t 6,0,1,"Zhejiang U: Phantom Threshold: Li, Li, Tang"
@t 7,0,1,"Saratov SU 1: Meshcheryakov, Petrov, Piklyaev"
@t 8,0,1,"HSE: CANCELLED TP: Evteev, Markelov, Pustovalov"
@t 9,0,1,"SJTU: willow: Jiang, Wang, Ye"
@t 10,0,1,"SPb HSE: Lemon Tree: Alferov, Makhnev, Surkov"
@t 11,0,1,"HSE: Dirizhabl': Akulov, Arzhantsev, Pogodin"
@t 12,0,1,"Zhejiang U: jiangly_fan: Hu, Lin, Ling"
@t 13,0,1,"Saratov SU 2: Brovko, Lankin, Shnirelman"
@t 14,0,1,"KhNURE: KB: Denysov, Grinenko"
@t 15,0,1,"ITMO University: Insert your name: Budin, Korobkov, Naumov"
@t 16,0,1,"ITMO University: Unexpected value: Erov, Kuzin, Stepanov"
@t 17,0,1,"NNSU: Lera Almost Retired: Emelin, Khlyustov, Ryabchikova"
@t 18,0,1,"ITMO University: pengzoo: Golikov, Iakovlev, Perveev"
@t 19,0,1,"Kazakh-British TU 1: Altybay, Kanatuly, Tursynbay"
@t 20,0,1,"Belarusian SU 1: Dzenhaliou, Klimasheuski, Paliukhovich"
@t 21,0,1,"IITU 1: Botakanov, Kapitov, Shormankhan"
@t 22,0,1,"Harbor Space U 2: Durán Medina, Velasco Sotomayor, Yusta Gómez"
@t 23,0,1,* Moscow IPT/HSE/SU: Smirnov
@t 24,0,1,Moscow IPT: Lonely Coala: Tretyakov
@t 25,0,1,"Ural FU: CheezeKEK: Chizhov, Reshke"
@t 26,0,1,"Petrozavodsk SU 1: Koshkarev, Krishtal, Masaeva"
@t 27,0,1,MAI #1: Plyushkin
@t 28,0,1,"MAI #2: Belousov, Inyutin, Smirnov"
@t 29,0,1,"Voronezh SU: Tatakae: Berezhnov, Novotochinov"
@t 30,0,1,"Baltic FU: Num4:: Alekseev, Chernozhukov"
@t 31,0,1,"Chelyabinsk PhML 31: Gerasikov, Kostylev, Zibnickij"
@t 32,0,1,Dhaka University: NotStrongEnough: Rahman
@t 33,0,1,"HSE: KresloStul: Arzhantsev, Daniel, Savinsky"
@t 34,0,1,"MISiS: Eva fan club: Bikmetov, Panin, Shabaev"
@t 35,0,1,"NNSU: Presskachat: Burdukov, Kulandin, Suharev"
@t 36,0,1,"ADA U: HE: Hajiyev, Inochkin"
@t 37,0,1,"Belarusian SU 3: Kharasau, Kostianoy"
@t 38,0,1,"SUST: BerlekampMassey: Hosen, Shohag, Tajwar Saikat"
@s 13,F,1,774,RJ
@s 1,H,1,780,OK
@s 13,F,2,780,OK
@s 34,C,1,940,RJ
@s 28,A,1,1200,RJ
@s 20,F,1,1620,OK
@s 1,F,1,1740,OK
@s 9,F,1,1740,OK
@s 11,F,1,1973,RJ
@s 29,F,1,2000,RJ
@s 6,B,1,2040,OK
@s 23,C,1,2364,RJ
@s 10,C,1,2398,RJ
@s 2,H,1,2580,OK
@s 1,B,1,2595,RJ
@s 23,F,1,2596,RJ
@s 8,H,1,2640,OK
@s 18,H,1,2643,RJ
@s 24,F,1,2652,RJ
@s 21,H,1,2660,RJ
@s 12,B,1,2811,RJ
@s 2,F,1,2820,OK
@s 19,F,1,2820,OK
@s 25,A,1,2860,RJ
@s 1,B,2,2880,OK
@s 10,C,2,2880,OK
@s 14,H,1,2941,RJ
@s 12,H,1,2997,RJ
@s 1,C,1,3000,OK
@s 6,G,1,3037,RJ
@s 18,K,1,3071,RJ
@s 5,B,1,3120,OK
@s 23,C,2,3180,OK
@s 26,F,1,3228,RJ
@s 15,H,1,3242,RJ
@s 12,H,2,3247,RJ
@s 16,H,1,3275,RJ
@s 4,F,1,3338,RJ
@s 21,F,1,3401,RJ
@s 24,B,1,3407,RJ
@s 3,F,1,3420,OK
@s 4,F,2,3420,OK
@s 17,H,1,3464,RJ
@s 25,A,2,3480,RJ
@s 25,F,1,3480,OK
@s 12,B,2,3540,OK
@s 4,H,1,3558,RJ
@s 18,H,2,3627,RJ
@s 24,F,2,3640,RJ
@s 16,H,2,3648,RJ
@s 4,B,1,3660,OK
@s 18,H,3,3665,RJ
@s 19,H,1,3705,RJ
@s 24,F,3,3720,OK
@s 26,F,2,3720,OK
@s 16,C,1,3777,RJ
@s 11,F,2,3780,OK
@s 10,K,1,3857,RJ
@s 18,H,4,3864,RJ
@s 22,F,1,3879,RJ
@s 29,F,2,3898,RJ
@s 18,B,1,3960,OK
@s 22,F,2,3960,OK
@s 34,C,2,4060,RJ
@s 6,H,1,4138,RJ
@s 3,H,1,4140,OK
@s 9,C,1,4154,RJ
@s 23,F,2,4250,RJ
@s 6,H,2,4260,OK
@s 12,H,3,4320,OK
@s 2,C,1,4380,OK
@s 34,C,3,4488,RJ
@s 15,F,1,4500,RJ
@s 5,F,1,4560,OK
@s 11,C,1,4560,OK
@s 33,F,1,4614,RJ
@s 29,F,3,4620,OK
@s 6,C,1,4626,RJ
@s 17,H,2,4643,RJ
@s 18,F,1,4671,RJ
@s 7,H,1,4680,OK
@s 4,K,1,4777,RJ
@s 33,F,2,4834,RJ
@s 16,F,1,4860,OK
@s 14,H,2,4864,RJ
@s 31,H,1,4948,RJ
@s 20,B,1,5027,RJ
@s 18,H,5,5040,OK
@s 20,B,2,5040,RJ
@s 5,H,1,5084,RJ
@s 3,K,1,5089,RJ
@s 16,H,3,5091,RJ
@s 23,F,3,5100,RJ
@s 18,I,1,5104,RJ
@s 10,K,2,5141,RJ
@s 16,H,4,5157,RJ
@s 9,B,1,5160,OK
@s 4,K,2,5206,RJ
@s 27,F,1,5220,OK
@s 17,H,3,5231,RJ
@s 14,H,3,5251,RJ
@s 15,B,1,5280,OK
@s 36,F,1,5290,RJ
@s 34,C,4,5371,RJ
@s 2,B,1,5382,RJ
@s 35,H,1,5385,RJ
@s 17,F,1,5425,RJ
@s 8,C,1,5460,OK
@s 6,F,1,5502,RJ
@s 16,G,1,5565,RJ
@s 16,H,5,5580,OK
@s 34,C,5,5582,RJ
@s 22,H,1,5621,RJ
@s 18,K,2,5661,RJ
@s 3,C,1,5700,OK
@s 6,F,2,5700,OK
@s 11,H,1,5755,RJ
@s 10,F,1,5760,OK
@s 7,B,1,5820,OK
@s 10,B,1,5820,OK
@s 4,C,1,5850,RJ
@s 37,H,1,5864,RJ
@s 4,C,2,5901,RJ
@s 24,B,2,5940,OK
@s 38,F,1,5940,RJ
@s 12,F,1,6014,RJ
@s 5,C,1,6120,OK
@s 18,F,2,6120,RJ
@s 35,H,2,6143,RJ
